,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
28,pornhubs.store,domain,12,1,94,12.77,undetected,1,No,,,,0,0
29,appvpn.cfd,domain,7,2,94,7.45,undetected,1,No,,,,0,0
30,mueuler.live,domain,5,1,94,5.32,undetected,1,No,,,,0,0
31,recommendation-samoa-weights-guyana.trycloudflare.com,domain,11,0,94,11.7,undetected,0,No,,,,0,0
32,nopaste.net,domain,13,0,94,13.83,undetected,1,No,,,,0,0
33,dashes.cc,domain,14,0,94,14.89,undetected,4,No,,,,0,0
34,sorts-pushed-completely-manuals.trycloudflare.com,domain,10,1,94,10.64,undetected,0,No,,,,0,0
35,settings-win-data-microsoft.live,file,0,0,0,0,undetected,0,No,,,,0,0
36,software.stytex.cloud,domain,3,0,94,3.19,undetected,0,No,,,,0,0
37,notionetwork.org,domain,6,0,94,6.38,undetected,1,No,,,,0,0
38,beeno.online,domain,12,1,94,12.77,undetected,3,No,,,,0,0
39,gettsveriff.com,domain,22,1,94,23.4,undetected,4,No,,,,0,0
40,aidetector.tools,domain,7,0,94,7.45,undetected,2,No,,,,0,0
41,response-settingswin-data-microsoft.org,domain,11,0,94,11.7,undetected,1,No,,,,0,0
42,paste.gg,domain,10,0,94,10.64,undetected,1,No,,,,0,0
43,s-t-o-r-e-s.com,domain,3,0,94,3.19,undetected,1,No,,,,0,0
44,candy-pdf-convertor.world,domain,4,2,94,4.26,undetected,1,No,,,,0,0
45,glsrvc.cloud,domain,17,1,94,18.09,undetected,4,No,,,,0,0
46,login-live-microsoft.org,domain,4,3,94,4.26,undetected,1,No,,,,0,0
47,windows-ds-time.live,domain,15,1,94,15.96,undetected,1,No,,,,0,0
48,xkpdf.run,domain,13,2,94,13.83,undetected,3,No,,,,0,0
49,gfddx.run,domain,13,2,94,13.83,undetected,5,No,,,,0,0
50,homeeick.com,domain,11,0,94,11.7,undetected,3,No,,,,0,0
51,teratechcompany.com,domain,5,0,94,5.32,undetected,1,No,,,,0,0
52,cuenten.com,domain,5,1,94,5.32,undetected,1,No,,,,0,0
53,bytevista.cloud,domain,18,0,94,19.15,undetected,4,No,,,,0,0
54,leocompany.org,domain,16,1,94,17.02,undetected,5,No,,,,0,0
55,pepjm.press,domain,14,0,94,14.89,undetected,3,No,,,,0,0
56,wv-modifications-gras-tension.trycloudflare.com,domain,3,0,94,3.19,undetected,0,No,,,,0,0
57,telemaneu.store,domain,11,0,94,11.7,undetected,1,No,,,,0,0
58,daltum.mx,domain,8,0,94,8.51,undetected,4,No,,,,0,0
59,cv.jyla.ru,domain,15,1,94,15.96,undetected,0,No,,,,0,0
60,kingrouder.tech,domain,12,0,94,12.77,undetected,4,No,,,,0,0
61,gozog.run,domain,14,1,94,14.89,undetected,5,No,,,,0,0
62,psee.io,domain,4,0,94,4.26,undetected,1,No,,,,0,0
63,cv.cbrw.ru,domain,17,1,94,18.09,undetected,0,No,,,,0,0
64,dragonoli.com,domain,3,0,94,3.19,undetected,1,No,,,,0,0
65,ps.ee.io,domain,1,0,94,1.06,undetected,0,No,,,,0,0
66,xgg.lol,domain,9,1,94,9.57,undetected,0,No,,,,0,0
67,betamode.app,domain,6,1,94,6.38,undetected,0,No,,,,0,0
68,recaptchas.top,domain,11,0,94,11.7,undetected,1,No,,,,0,0
