,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
42,881a84477b509e2e63b70915055b9af1d12cf8fde9fb5031823c8c2a38c8979a,file,5,0,76,6.58,,2,No,,,,0,0
43,f10ecfd0ac437420e8754dbefd9b49c710fe87548ec1350eb2598785b33afec1,file,2,0,76,2.63,,2,No,,,,0,0
44,aimp.link,domain,3,2,94,3.19,undetected,2,No,,,,0,0
45,ebfdea1721914a504465ea474edc3f823c3e13fc71c86f04f4793c61e5070d92,file,24,0,76,31.58,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
46,878a3a06aadf6d22a61dc6a160a389b6fd34f6629a32df3407c300bcd7829f4b,file,15,0,76,19.74,,2,No,,,,0,0
47,advanced-ip-scanner.xyz,domain,4,1,94,4.26,undetected,2,No,,,,0,0
48,meet-go.click,domain,16,1,94,17.02,undetected,0,No,,,,0,0
49,asana.wf,domain,13,2,94,13.83,undetected,10,No,,,,0,0
50,c3dc66c657dd5a8a624c6eba67a6b8d1dada8ceeb13aab169c3a88c615831560,file,20,0,76,26.32,,2,No,,,,0,0
51,154.216.20.106,ip_address,5,0,94,5.32,undetected,2,No,Brazil,São Paulo,São Paulo,-23.5558,-46.6396
52,aimp2024.pw,domain,13,0,94,13.83,undetected,2,No,,,,0,0
53,38.180.142.198,ip_address,2,2,94,2.13,undetected,2,No,United States,Florida,Tampa,27.9455,-82.4598
54,3cfcb57b94e69372cd2815dc63d66ab4b4ac4fec48b3b092f76ae5c9beaa353f,file,6,0,76,7.89,,2,No,,,,0,0
55,lexisnexis.pro,domain,11,1,94,11.7,undetected,10,No,,,,0,0
56,advanced-ip-scanner.link,domain,13,1,94,13.83,undetected,16,No,,,,0,0
57,a5febb4b5ba6572594de87d2a9de6df65d49da755385bf3d3d4d054772ce493c,file,27,0,76,35.53,Trojan:PowerShell/Obfuse!MSR,3,No,,,,0,0
58,6bd191586c52ecd2a3496616838753db21156d52854a99b7d3fcbf9be0a5184a,file,0,0,76,0,,2,No,,,,0,0
59,advancedipscannerapp.com,domain,13,1,94,13.83,undetected,16,No,,,,0,0
