,IOC,Type,VT Malicious,VT Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
56,copycode.io,domain,7,0,94,7.45,undetected,3,No,,,,0,0
57,usersmanualplatforms19.site,domain,6,0,94,6.38,undetected,1,No,,,,0,0
58,stuartsemple.com,domain,3,0,94,3.19,undetected,1,No,,,,0,0
59,kazarselectric.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
60,accesso-ai-media.fly.storage.tigris.dev,domain,4,2,94,4.26,undetected,0,No,,,,0,0
61,pornohub.vip,domain,5,1,94,5.32,undetected,1,No,,,,0,0
62,attlaw.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
63,cartelroasting.co,domain,2,0,94,2.13,undetected,1,No,,,,0,0
64,bu.unrimedironize.shop,domain,9,2,94,9.57,undetected,0,No,,,,0,0
65,ymcahouston.org,domain,1,0,94,1.06,undetected,1,No,,,,0,0
66,newsly.cc,domain,5,0,94,5.32,undetected,1,No,,,,0,0
67,866059.eliteeyeview.co,domain,4,1,94,4.26,undetected,0,No,,,,0,0
68,asia.seduniatravel.com,domain,2,0,94,2.13,undetected,0,No,,,,0,0
69,e56b8aaa.s3.pl-waw.scw.cloud,domain,6,1,94,6.38,undetected,0,No,,,,0,0
70,mediafoxo.fly.storage.tigris.dev,file,0,0,0,0,undetected,0,No,,,,0,0
71,copepsychology.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
72,pornhubs.store,domain,12,1,94,12.77,undetected,1,No,,,,0,0
73,neuething.org,domain,2,0,94,2.13,undetected,1,No,,,,0,0
74,realidwa.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
75,jacksonville.redcareers.com,domain,2,0,94,2.13,undetected,0,No,,,,0,0
76,theprairiefireflies.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
77,candyconverterpdf.com,domain,10,0,94,10.64,undetected,8,No,,,,0,0
78,airscompany.com,domain,2,1,94,2.13,undetected,2,No,,,,0,0
79,invisibleppc.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
80,wkvi.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
81,ridgefieldrecovery.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
82,texasspineclinic.com,domain,3,0,94,3.19,undetected,1,No,,,,0,0
83,companybonuses.org,domain,5,1,94,5.32,undetected,1,No,,,,0,0
84,pitajungle.com,domain,1,0,94,1.06,undetected,1,No,,,,0,0
85,pitchforkeconomics.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
86,softbasepc.com,domain,2,1,94,2.13,undetected,1,No,,,,0,0
87,outpagefitroot.shop,domain,8,1,94,8.51,undetected,2,No,,,,0,0
88,greenhills.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
89,seeoldnyc.com,domain,2,0,94,2.13,undetected,2,No,,,,0,0
90,technitrad.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
91,iat.ac.ke,domain,2,0,94,2.13,undetected,0,No,,,,0,0
92,hipercompany.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
93,shorrock.co.za,domain,2,0,94,2.13,undetected,1,No,,,,0,0
94,blacksportsonline.com,domain,3,0,94,3.19,undetected,0,No,,,,0,0
95,gabsfestival.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
96,printablesworksheets.net,domain,2,1,94,2.13,undetected,1,No,,,,0,0
97,torontosom.ca,domain,1,0,94,1.06,undetected,1,No,,,,0,0
98,stylebyemilyhenderson.com,domain,2,0,94,2.13,undetected,0,No,,,,0,0
99,adesa.com,domain,1,0,94,1.06,undetected,1,No,,,,0,0
100,holidaysat.es,domain,2,0,94,2.13,undetected,1,No,,,,0,0
101,notionetwork.org,domain,6,0,94,6.38,undetected,1,No,,,,0,0
102,rumleytrailers.com,domain,2,0,94,2.13,undetected,1,No,,,,0,0
103,onlinemedicalcardpennsylvania.com,domain,2,3,94,2.13,undetected,1,No,,,,0,0
104,peachtreewellnessmh.com,domain,2,0,94,2.13,undetected,3,No,,,,0,0
105,parkland.dental,domain,2,0,94,2.13,undetected,1,No,,,,0,0
106,cryptoarabmoon.com,domain,2,1,94,2.13,undetected,1,No,,,,0,0
