,IOC,Type,Total Engines,Malicious,Suspicious,Microsoft Detection,Flagged by Microsoft,In CIRCL Dataset,Severity Percentage
13,b34734b85116c26310ca8bfe1347577c574ab2a7da4d5a3de4df86a933a726b5,file,76,57,0,Trojan:MSIL/QuasarRAT.DB!MTB,Yes,No,75
14,b387dca776ec20a5f7c8cc1df2a473f7b76520b6a33e2993850a21999cf612b3,file,76,56,0,Trojan:MSIL/FormBook!rfn,Yes,No,73.68
15,c2205542e3243c4afb374c0245ef14b60b70dc3b16e776797ab4c8b861c683bc,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
16,c48de72e3d33017a1573ea1a470aa3098a8eb3a533f08127be53a44698fb8582,file,76,5,0,Trojan:PowerShell/AsyncRAT!MTB,Yes,No,6.58
17,cdc2106e6e47fe9e06e5c1b655b8428706cf3db33e31b854ddf3e1269d9c7978,file,76,23,0,Trojan:VBS/AsyncRAT!MTB,Yes,No,30.26
18,cebf7847f254370f26e607a7a2c6472a218db9e373271a35b0a3391345cae3a4,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
19,d1920faf5155b3b2b4185ec8f3f533650d22cdae5bc26f3206e9b976610deda3,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
20,da6135c3ae0dc3caeed1f8669268ad5d86e901e22713a1dd4fa5af3fb90a96fe,file,76,28,0,Trojan:Win32/Znyonm!rfn,Yes,No,36.84
21,e1cd02a8df5e325a4738e0a68464807cfca08f8d71fec828a0b6a7a12eee07a2,file,76,25,0,Trojan:Win32/Egairtigado!rfn,Yes,No,32.89
22,e3028ecd7637653dda1250fa2925e143796e385cda98191f04eec0681fd0c826,file,76,56,0,Trojan:MSIL/FormBook!rfn,Yes,No,73.68
23,e420fad29425623e0167cbc0a0a1aec2aeb5e1908db624ec5a15552001ada7db,file,76,47,0,,No,No,61.84
24,e6c916a35a9cdf7325523a1ece2390568ba81d0a8d8502c838160feefdcac1a9,file,76,30,0,Trojan:BAT/Alien.RP!MTB,Yes,No,39.47
25,ecaf1d8c8ee27ca922ee279f0972198dc7aa0cff950ce88def1a78e93a6a7f15,file,76,58,0,Trojan:Win32/LummaStealer.DSK4!MTB,Yes,No,76.32
26,f2ef8e3af2210af33bd69b473f393395d8c84f7361bceb9123d3bd7bf0f2bf9f,file,75,53,0,Trojan:MSIL/ClipBanker.GC!MTB,Yes,No,70.67
27,049d274477dcf97904b193a4e99f1ee69e1ecceb5fa18b086fbd6589e7c33a63,file,76,63,0,Backdoor:MSIL/Quasar!atmn,Yes,No,82.89
28,0901494ca99f6080fd12276cf98de5689cd4e0da9c797954d6d832492ac21e81,file,76,55,0,VirTool:MSIL/Aikaantivm.GG!MTB,Yes,No,72.37
29,0af39e130723b752f7ff5269ca2de099e1aa3c031d534ec84629fb9fd61ab0d3,file,76,56,0,Trojan:MSIL/Jalapeno.AM!MTB,Yes,No,73.68
30,0cc7a36a24ff6765007c39097d0955fd21bccd0a796b51ba5b2082d56c1039c5,file,76,59,0,Trojan:MSIL/ClipBanker.GC!MTB,Yes,No,77.63
31,0d83301aae4af98108f42ccbc7d9b4e3abcd65c91162fc0bfa8d4e3c86733560,file,76,39,0,Trojan:Win32/Wacatac.B!ml,Yes,No,51.32
32,0f06e0c43f69af8f0533e9346cfe3346acd4de1b26f1e8d37440aa5a0b2886c1,file,76,37,0,,No,No,48.68
33,0faddacaada3b9acb35d5d5b98af2d52c9e3a4c9a1274595ae755b84a6b14c09,file,76,56,0,Trojan:Win32/Egairtigado!rfn,Yes,No,73.68
34,101786e62aeb6f62129bb39ea1b58cc587de9483a2409a1c95a61a32aa202627,file,76,54,0,VirTool:MSIL/Aikaantivm.GG!MTB,Yes,No,71.05
35,113c99534e6cd56d1ae19e788c758074d6e85d157cafa3c9796de34441d4f469,file,76,47,0,Trojan:MSIL/ClipBanker.GC!MTB,Yes,No,61.84
36,197ebb16ffd123604a2f960d4bd32d7e2756253ac728a218b18ef42857fe9d95,file,76,56,0,Trojan:Win64/Donut!rfn,Yes,No,73.68
37,21a8bab1166fba20c8e1e5a1b49ff40bd238a75c9049d23f7c83bf0169ab45dd,file,76,61,0,Backdoor:MSIL/Quasar!atmn,Yes,No,80.26
38,33d8fd51331ab9fb71c751d9db24ed99e9c6b63119ab2aa54fb5bb2ae92c4ca0,file,76,63,0,Backdoor:MSIL/Quasar!atmn,Yes,No,82.89
39,3a6529f3e99df90d6ead499699a1a25fa09bc4f7a06638c851807bc9529a70a3,file,75,62,0,Backdoor:MSIL/Quasar!atmn,Yes,No,82.67
40,426b6e77a4d2e72edf8cd6177578a732ca05510b56cb58d938d6e25820dc2458,file,76,15,0,,No,No,19.74
41,4921280922daeae6261877612e04fabe8b0ce2a2f71b6de7335c5a37b805c9b0,file,76,55,0,Trojan:MSIL/ClipBanker.GC!MTB,Yes,No,72.37
42,4a6389fb42a4918ca6b7aec6c86a4e945f85dfb6490f873f9be24fa5c7f9df06,file,76,49,0,Program:Win32/Wacapew.C!ml,Yes,No,64.47
43,598d2d9261dbd7f0be9b8c85e0c482ed45f5ad90b333bc05476e03bf223f9c51,file,76,56,0,VirTool:MSIL/Aikaantivm.GG!MTB,Yes,No,73.68
44,598da03f8d15d6f89b22b2b53bdc5a609a04a398a4487d004c2f9c0317975e61,file,76,25,0,Trojan:Script/Wacatac.B!ml,Yes,No,32.89
45,647d37b1136c20501a040434aec3c0c9c3b2d685dba4f737705de6d24bef407e,file,76,57,0,Trojan:MSIL/ClipBanker.GC!MTB,Yes,No,75
46,76766e12871cd38748d88240d7c6cecace6d495a2678b69dce0ab17d8763b7f1,file,76,50,0,Trojan:MSIL/ClipBanker.GC!MTB,Yes,No,65.79
47,7a5c58f1ff5085c30b779e8b712af0b2b4cf8028a36412a167234a408eeeea3b,file,76,60,0,Trojan:Win32/Kepavll!rfn,Yes,No,78.95
48,7e41649bdde91d0b1c3e8dab6ff49c8487a200febeaa8dc0fc25dc77a3924df8,file,76,29,0,Trojan:Win32/Leonem!rfn,Yes,No,38.16
49,818ef3d013069a7bacd3bf4d4a728ace9ea74ab518fb4adffcc0a23f57e4b585,file,75,56,0,Trojan:MSIL/Zilla.ZLY!MTB,Yes,No,74.67
